@MG_2016	I have a question: was it that hard to not choose a slaver and get rid of the name of a staunch white supremacist? #WrongMoveYale	http://twitter.com/MG_2016/status/725836984376279040	April 28, 2016 at 07:59PM
@bougeottee_	.@Yale #WrongMoveYale https://t.co/lUGfmtEnL9	http://twitter.com/bougeottee_/status/725837015997124609	April 28, 2016 at 08:00PM
@theraysapmob	RT @DOWNatYale: President's Salovey's welcoming are met with a shower of money symbolizing the influence of money. #WrongMoveYale https://t.co/lm0LSktzEp	http://twitter.com/theraysapmob/status/725837040034701312	April 28, 2016 at 08:00PM
@alinaaks88	so grateful to have been around all of you and your words. We're building the world we want and it's beautiful #wrongmoveyale #weareloved	http://twitter.com/alinaaks88/status/725837087740710912	April 28, 2016 at 08:00PM
@danhauge	RT @DOWNatYale: President's Salovey's welcoming are met with a shower of money symbolizing the influence of money. #WrongMoveYale https://t.co/lm0LSktzEp	http://twitter.com/danhauge/status/725837218120622081	April 28, 2016 at 08:00PM
@Asis_Hakeem	RT @bougeottee_: The president of my university just said "I know he owned slaves BUT" that should say it all #WrongMoveYale	http://twitter.com/Asis_Hakeem/status/725837218451972096	April 28, 2016 at 08:00PM
@ProfKori	RT @bougeottee_: The president of my university just said "I know he owned slaves BUT" that should say it all #WrongMoveYale	http://twitter.com/ProfKori/status/725837262580228096	April 28, 2016 at 08:01PM
@imadeintruth	RT @bougeottee_: The president of my university just said "I know he owned slaves BUT" that should say it all #WrongMoveYale	http://twitter.com/imadeintruth/status/725837299427192832	April 28, 2016 at 08:01PM
@sphghtn	RT @shargaretmultz: 1,000 students fill Battell chapel to say #wrongmoveyale   (Alex Zhang) https://t.co/OCSWJAxa03	http://twitter.com/sphghtn/status/725837304250679296	April 28, 2016 at 08:01PM
@MG_2016	The only recognition Calhoun deserves now is a plaque that essentially says, "we fucked up, ain't no mo Calhoun, bih." #WrongMoveYale	http://twitter.com/MG_2016/status/725837334575480832	April 28, 2016 at 08:01PM
@filipihna	RT @TylerBlackmon: .@Yale is no better than white supremacists who used the *same* argument to keep Confederate Flag. #WrongMoveYale https://t.co/gI4zc20784	http://twitter.com/filipihna/status/725837340715978752	April 28, 2016 at 08:01PM
@TylerBlackmon	In Georgia, white supremacists planned an actual "pro-white" rally using @Yale's "history" argument. #WrongMoveYale https://t.co/srJnUJXpwS	http://twitter.com/TylerBlackmon/status/725837392649789440	April 28, 2016 at 08:01PM
@BLMcKean	RT @DOWNatYale: President's Salovey's welcoming are met with a shower of money symbolizing the influence of money. #WrongMoveYale https://t.co/lm0LSktzEp	http://twitter.com/BLMcKean/status/725837401965338628	April 28, 2016 at 08:01PM
@bougeottee_	Students wondering why Charles Johnson got to name the new college after Ben Franklin #  Me: #WrongMoveYale https://t.co/dl9AH07OnW	http://twitter.com/bougeottee_/status/725837412191113216	April 28, 2016 at 08:01PM
